Código,Horário,Data,Responsável,Nome,Descrição,Público Alvo,Vagas,Local
OF07,08:00 - 12:30,25/10,"Milena A.M.Requião
Jênica S.Barbosa
Flávia S.Cunha",As soluções no cotidiano,Identifica as soluções do nosso cotidiano e classificá-las.,Geral,10,Lab.10
OF15,08:00 - 12:30,26/10,Verônica de S.Santos,Criação e preenchimento de currículos e carta de apresentação,"Cria/ preenche o currículo na Plataforma Lattes; Entende a importância do registro da trajetória acadêmica, bem como a organização de tais dados; Entende quais documentos perfazem a trajetória acadêmica, os gêneros e organiza documentação que se direciona a este ciclo; Produz sua própria carta de apresentação.
Requisitos: certificados, declarações ou outros documentos que perfazem a vida acadêmica e pasta com folhas divisórias plásticas ou classificador arquivo para a seção de organização documental.",Geral,20,Lab.Inf. 2
OF16,08:00 - 12:30,26/10,"Ismael Luiz de M. Ferreira
Esdras A.L.e Lima",Operações com frações na feitura de bolos integrais,Aprende/ aperfeiçoa os conhecimentos sobre operações com frações na feitura de bolos integrais.,Geral,9,Lab. Alim. 5
PA08,08:00 - 9:00,26/10,Alexandre Fernandes,Dados acerca de abjetos: Dos gráficos à Análise do Discurso,Dados acerca de abjetos: dos gráficos à Análise do discurso,Estudantes,40,Sala 47
ST02,09:00 - 12:00,26/10,Danielle Felix,Paródia com vídeo-clipe no ensino de Química.,,Geral,,Sala 45
ST03,09:00 - 12:00,26/10,"Pedro Benevides
Carla Camuso",A Matemática no Cinema,,Geral,,Sala 46
MR01,10:00 - 11:30,27/10,"Cristiano Raykil
Tatiana Santos",Um diálogo entre a Sociologia e a Matemática,,Geral,,Ginásio
OF09,10:30 - 11:30,25/10,"Jamille M.Lima
Michelle A.Souza
Eladyr B.Raykil",A Fórmula dos Alimentos,Identifica como a matemática está inserida no momento da aquisição e preparação dos alimentos; Reconhece a importância do aproveitamento integral dos alimentos e do uso de plantas alimentícias não convencionais na relação Custo-benefício.,Geral,15,Sala 4
PA03,10:30 - 11:30,25/10,Ismael Ferreira,Breve História dos Calendários,,Geral,25,Sala 19
MC15,10:30 - 12:30,26/10,Eladyr B.Raykil,#partiuempreender,"Estimula o protagonismo, autonomia e emancipação dos/as jovens; Sensibiliza/mobiliza jovens para as possibilidades de desenvolvimento de produtos e serviços na perspectiva da Economia Solidaria.",Geral,15,Lab.CH 8
OF01,10:30 - 12:30,24/10,"Ruan Vítor S.Silva
Carla Camuso",Matemática Musical,"Demonstrações de quantidade e qualidades musicais; Mostra a teoria musical, a qual ajuda nos aprendizados musicais, contendo nela a pura matemática.",Geral,20,Sala 2
OF02,10:30 - 12:30,24/10,"Michelle A.Souza
Jamille M.Lima
Marcello F.Leite
Discentes 4TA",Degustar também é calcular,"Apresenta os bastidores da produção alimentícia; Demonstra as etapas da produção de alimento específico e sua conservação;
Degusta o alimento e conhece como são feitas as análises estatísticas em um teste de
Análise Sensorial.",Geral,30,Sala 3
OF03,10:30 - 12:30,24/10,"Eladyr B.Raykil
Representante Sengetsu",Oficina de IKEBANA,"Desenvolve arranjos florais, de acordo com as premissas da arte japonesa da IKEBANA.",Geral,15,Sala 4
OF08,10:30 - 12:30,25/10,"Eladyr B.Raykil
Ieda Santos",Oficina de Bijuterias de Recicláveis,"Estimula a criatividade, o reaproveitamento de resíduos recicláveis e o empreendedorismo; Gera oportunidades de trabalho e renda.",Geral,20,Lab.CH 8
OF11,10:30 - 12:30,25/10,"Marcionila A.dos P.A.Mota
Normélia C.de S.Miranda
Pâmella S.do A.Silva
Ednei R.dos Santos
Mário da C.Maselli
Rosileidy N.Santos
Túlio S.Café",O despertar da matemática,"Promove descoberta em relação ao cotidiano de pessoas com necessidades específicas, usando para tal finalidade os jogos e o cinema.",Estudantes,20,Sala 18
PA04,10:30 - 12:30,25/10,Tatiana Santos,As mulheres na matemática,,Geral,30,Sala 46
PA05,10:30 - 12:30,25/10,Bartolo Barrios,Apresentação do Jogo Amarelinho,,Geral ,30,Sala 47
OF17,10:30 - 12:30,26/10,"Marcionila A.dos P.A.Mota
Normélia C.de S.Miranda
Pâmella S.do A.Silva
Ednei R.dos Santos
Mário da C.Maselli
Rosileidy N.Santos
Túlio S.Café",O despertar da matemática,"Promove descoberta em relação ao cotidiano de pessoas com necessidades específicas, usando para tal finalidade os jogos e o cinema.",Estudantes,20,Sala 18
OF10,11:30 - 12:30,25/10,"Jamille M.Lima
Michelle A.Souza
Eladyr B.Raykil",A Fórmula dos Alimentos,Identifica como a matemática está inserida no momento da aquisição e preparação dos alimentos; Reconhece a importância do aproveitamento integral dos alimentos e do uso de plantas alimentícias não convencionais na relação Custo-benefício.,Geral,15,Sala 4
PA02,8:00 - 10:00,26/10,"Marcela Marinho
Jorge de Souza",Geometria molecular,,Estudantes,40,Sala 19
ST04,9:00 - 12:00,25/10,André Búrigo,A Ciência e a área ambiental,,Estudantes,20,Sala 48
